comments,candidate,cleaned_comments
Big announcement on the Building Ghana Tour H.E. John,Mahama,big announcement building ghana tour john
TUC endorses to be the game changer. People are saying,Mahama,tuc endorses game changer people saying
Trust me the John,Mahama,trust john
jobs driven,Mahama,job driven
"So, I stumbled upon this article where",Mahama,stumbled upon article
"Truth Ghanaians are shortsighted and slefish.
  Same Ghanaians supported the overthrow of Nkrumah for frivolous reasons.",Mahama,truth ghanaians shortsighted slefish ghanaians supported overthrow nkrumah frivolous reason
After today's Wiper,Mahama,today wiper
We had plans to make Ghana a,Mahama,plan make ghana
Newspaper Headlines : Daily Heritage,Mahama,newspaper headline daily heritage
? All they do is their dollar blueprint etc,Mahama,dollar blueprint etc
have been fooling us all along for a long time.,Mahama,fooling u along long time
is simply a buy product of demand as a result of development,Mahama,simply buy product demand result development
"can't explain his policy""",Mahama,explain policy
",we don't even hear about it in your campaign and you are here laughing at people and cracking",Mahama,even hear campaign laughing people cracking
", you can go burn the see if you like......",Mahama,go burn see like
policy and not proposing any specific solutions for the nation but believe Ghanaians have short memory so they will follow dem,Mahama,policy proposing specific solution nation believe ghanaians short memory follow dem
benefit us if there are little or few factories,Mahama,benefit u little factory
", & ultimately DETRACT from the MOMENTUM of a campaign which appears to be on TURBO CHARGE",Mahama,ultimately detract momentum campaign appears turbo charge
mean banks will be operating at 1am 2am 3am. Who will send his or her money to bank at that time???,Mahama,mean bank operating send money bank time
attractive to the floating voters. If they,Mahama,attractive floating voter
isn't explaining it right?,Mahama,explaining right
"is a SCAM. It's just to hoodwink the unsuspecting masses to vote for him.
  In which companies or industries are additional people going to work and who is going to pay for the additional cost of Labour to be incurred?
  It's a scam!",Mahama,scam hoodwink unsuspecting mass vote company industry additional people going work going pay additional cost labour incurred scam
to lock ppl up,Mahama,lock ppl
"can't explain their policy, can u imagine",Mahama,explain policy imagine
. Wei y3 party!,Mahama,wei party
can't even be explained..funny,Mahama,even explained funny
", tell me if you yourself you can explain it.",Mahama,tell explain
? The media should be serious with Ghana.,Mahama,medium serious ghana
"come power them go chop
  So this old strategy..apuuu",Mahama,come power go chop old strategy apuuu
entails what?,Mahama,entail
must be implemented because Ghanaians sleep 2 much,Mahama,must implemented ghanaians sleep much
"2. Establish Women development Bank
  3. The big push
  4. 10k youth in coding.
  Etc etc etc",Mahama,establish woman development bank big push youth coding etc etc etc
we could've given him the benefit of the doubt and listen. But as far as it's still Incompetent,Mahama,could given benefit doubt listen far still incompetent
WHICH THAT LIAR AND FAILED ECONOMIST BAWUMIA DOES NOT UNDERSTAND!!!ANOTHER ONE IS THE LAUNCH OF THE CODING PROGRAMME IN IT FOR THE YOUTH.THE SCRAPPING OF THE E-LEVY AND OTHER TAXES.,Mahama,liar failed economist bawumia understand another one launch coding programme youth scrapping levy tax
without telling us where and how they will start it koraaa aden,Mahama,without telling u start koraaa aden
to us,Mahama,u
. His empty ideas exposes him when he engages in policy argument. You minions are finding it hard marketing his emptiness!,Mahama,empty idea expose engages policy argument minion finding hard marketing emptiness
WHERE WE CAN FIND WAAKYE IN THE NIGHT AND REAR ELEPHANTS AND TIGERS,Mahama,find waakye night rear elephant tiger
policy promise. There hasn't been a main theme for his campaign yet. Or I'm mistaken?,Mahama,policy promise main theme campaign yet mistaken
"...
  
  Alan""butterfly""cash: I'll create 40million jobs, 40ministers, cyanoeconomy(blue-green",Mahama,alan butterfly cash create million job minister cyanoeconomy blue green
are confused that is why they cannot explain what the outcome is.,Mahama,confused cannot explain outcome
built more school than Nana Addo so?,Mahama,built school nana addo
COMMUNICATORS. THE YOUTH ARE MUCH MORE EDUCATED AND THEY WILL RETIRE HIM IN DECEMBER.,Mahama,communicator youth much educated retire december
person ? kurasiniii,Mahama,person kurasiniii
and non was able to explain it.,Mahama,non able explain
"a lot of people shared contrary views. Funny thing is you never posted any of such videos. But this one de3 see how you are busy sharing it to downplay the Credit score policy. 
  I'm a perpetual optimist and I believe anything is possible.",Mahama,lot people shared contrary view funny thing never posted video one de see busy sharing downplay credit score policy perpetual optimist believe anything possible
"?
  That's not what makes you a neutral",Mahama,make neutral
"and how it will benefit the farmers in the north? 
  Boi...",Mahama,benefit farmer north boi
"n people were saying is not possible.
  As citizens, Is that the only way we can support the country's development?",Mahama,people saying possible citizen way support country development
and gyata exportation for people to vote for u and also tell ur,Mahama,gyata exportation people vote also tell ur
will be done….. Sorry. I'm not interested with the thesis ok if you can't support your claim.,Mahama,done sorry interested thesis ok support claim
had another explanation which is abysmal. Women bank is another not thought through policy.,Mahama,another explanation abysmal woman bank another thought policy
. Waiting for the video? Women's bank?,Mahama,waiting video woman bank
"because so far, all the explanations by some communicators are indeed empty and does not seem to be a problem solving policy rather a political gimmick",Mahama,far explanation communicator indeed empty seem problem solving policy rather political gimmick
?...tweakai!!!,Mahama,tweakai
"my is about rearing Dogs, snakes, donkeys wei",Mahama,rearing dog snake donkey wei
well.,Mahama,well
to hoody gullible Ghanaians to vote for him but he and the,Mahama,hoody gullible ghanaians vote
is as empty as an empty barrel... listen carefully before making any conclusions...,Mahama,empty empty barrel listen carefully making conclusion
". 
  
  What are you producing around the clock and what form of productivity are you referring to…
  Thread….",Mahama,producing around clock form productivity referring thread
Debate turn,Mahama,debate turn
in Ghana which he claims his 4 years left will save the Youth,Mahama,ghana claim year left save youth
", maybe you can explain that better.",Mahama,maybe explain better
.wht is he going to say,Mahama,wht going say
dey anaa,Mahama,dey anaa
thing dem dey champion am,Mahama,thing dem dey champion
is feasible but something banks are already doing and need some proper upscaling you think it's not possible.,Mahama,feasible something bank already need proper upscaling think possible
yet you havnt asked him to. Mtcheww.,Mahama,yet havnt asked mtcheww
"has cor Ghanaians.
  Neither is the credit score system the only policy Bawumia has.
  So don't bring unemployment into a credit score debate. We are analysing the policies. Surely these two have policies on unemployment",Mahama,cor ghanaians neither credit score system policy bawumia bring unemployment credit score debate analysing policy surely two policy unemployment
